user_id,file_id,rating,combo_5_B__perp_token_curv_lex_disc__pred,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,mean_rank,rank_entropy,curvature_z,ll_orig,mean_ll_pert,std_ll_pert,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,total_connectives,connective_entropy,connective_density_per_100w,enumeration_count
60,1,4.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2388,9.3241,6.5932,0.8046,0.0267,72.6176,84.1771,0.3516,0.228,4.9514,51.0,1.2883,3.3465,0.0
61,1,5.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,11.1917,7.9137,0.8893,0.0178,74.7679,84.5758,0.6506,0.1928,5.198,15.0,1.2366,3.0303,0.0
62,1,4.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359,10.1964,7.21,0.8941,0.018,63.3375,146.1013,0.6134,0.1856,5.0856,6.0,0.9183,1.6575,0.0
63,1,5.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142,13.5116,9.5542,0.8461,0.0205,66.3156,194.4107,0.4974,0.1824,5.2358,98.0,1.2642,5.3002,0.0
64,1,5.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306,10.8422,7.6666,0.8694,0.0202,69.8584,83.4685,0.5824,0.1978,4.9338,12.0,1.614,1.8927,0.0
65,1,4.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5309,10.6834,7.5543,0.8945,0.0176,74.0131,115.4883,0.6698,0.1442,5.1654,4.0,-0.0,0.9877,0.0
66,1,4.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4824,9.2663,6.5523,0.8767,0.0209,96.0627,110.6315,0.6292,0.1854,4.9485,7.0,1.4488,1.897,0.0
67,1,4.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871,10.0658,7.1176,0.8812,0.0196,79.0878,95.162,0.6346,0.149,5.0492,4.0,1.5,0.9368,0.0
68,1,4.0,4.11,-3.2971,27.0337,0.033,0.2978,0.7294,1226.4423,3.894,3.4441,-3.2079,-3.6656,0.1329,0.3652,9.5174,6.7298,0.8455,0.0237,89.5799,78.3435,0.496,0.2258,4.7865,20.0,0.8842,2.9455,0.0
69,1,4.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404,8.1258,5.7458,0.8302,0.0268,131.856,65.3887,0.5103,0.2113,5.0105,12.0,0.8167,2.1053,0.0
