user_id,file_id,rating,combo_11_E__add_perp_token_ner_disc__pred,cosine_sim,norm_gap,nli_mean_entail,nli_mean_contra,content_vs_function_ratio,pos_entropy,verbs_per_sentence,flesch_reading_ease,fk_grade_level,ttr,mtld,yules_k,avg_tree_depth,avg_dep_distance,entity_continuity,role_transitions,vader_compound,tb_subjectivity,sentence_length,avg_logprob,ppl,proportion_top100,entity_density,entity_label_entropy,connective_entropy,connective_density_per_100w
59,0,4.0,4.12,0.0,0.0,0.0,0.0,2.8264,3.1533,1.9357,43.1673,11.1069,0.3071,118.4472,118.5392,4.6257,2.791,0.4435,0.3512,0.9999,0.4874,2735.0,0.0,0.0,0.0,0.063,2.5347,1.2004,3.766
60,0,4.0,4.22,0.0,0.0,0.0,0.0,3.2206,3.0809,1.2449,65.9288,7.0061,0.5043,100.6709,61.1376,4.2449,2.6541,0.3785,0.2454,0.9927,0.3959,583.0,0.0,0.0,0.0,0.0781,2.4623,0.6194,2.2298
61,0,5.0,4.78,0.0,0.0,0.0,0.0,4.6883,3.0622,1.0649,55.0156,8.6013,0.4561,144.8075,52.375,3.039,2.5257,0.4224,0.262,0.9958,0.4345,888.0,0.0,0.0,0.0,0.1185,2.5073,0.9918,2.2523
62,0,4.0,3.99,0.0,0.0,0.0,0.0,8.4286,2.6527,1.4583,47.5645,13.9182,0.4564,89.6633,104.4231,5.1667,3.6995,0.3681,0.1274,0.992,0.433,482.0,0.0,0.0,0.0,0.1529,2.1742,-0.0,0.8299
63,0,5.0,4.35,0.0,0.0,0.0,0.0,3.1829,3.1392,1.5396,46.1156,10.2957,0.2674,137.8151,48.1801,4.3547,2.8985,0.5441,0.3078,0.9999,0.4205,3609.0,0.0,0.0,0.0,0.0806,2.451,1.221,3.4081
64,0,5.0,4.87,0.0,0.0,0.0,0.0,5.5333,3.0099,2.9091,37.8606,15.8844,0.4288,83.1794,70.4515,5.8636,3.3333,0.4774,0.2058,0.994,0.528,632.0,0.0,0.0,0.0,0.1949,2.3398,1.614,1.8987
65,0,4.0,3.86,0.0,0.0,0.0,0.0,9.8649,2.9342,5.0,-51.0866,52.1836,0.4139,41.8495,144.9403,6.7,3.7147,0.3609,0.2102,0.9612,0.5502,476.0,0.0,0.0,0.0,0.2134,2.0531,-0.0,0.8403
66,0,4.0,3.8,0.0,0.0,0.0,0.0,3.4444,3.0749,2.0769,29.1666,18.4078,0.4111,56.8791,127.3675,5.0,3.5123,0.398,0.2147,0.9968,0.5756,433.0,0.0,0.0,0.0,0.1369,2.16,0.7219,1.1547
67,0,4.0,4.07,0.0,0.0,0.0,0.0,8.9333,2.8307,2.5556,-55.0232,55.8795,0.3444,57.6191,160.3355,6.2222,6.3305,0.4122,0.1228,0.9925,0.4964,514.0,0.0,0.0,0.0,0.1537,1.5221,0.9183,0.5837
68,0,4.0,4.18,0.0,0.0,0.0,0.0,4.898,2.9805,2.9583,25.5904,20.1813,0.4692,206.6395,48.3387,5.0833,3.2174,0.5497,0.2759,0.9928,0.5497,601.0,0.0,0.0,0.0,0.0969,2.1595,0.9913,2.1631
69,0,4.0,4.0,0.0,0.0,0.0,0.0,2.934,2.9256,0.899,52.6873,8.3504,0.384,131.1144,97.8633,3.899,2.4209,0.4579,0.3026,0.9963,0.5018,849.0,0.0,0.0,0.0,0.061,2.3527,0.6588,5.7715
70,0,5.0,4.61,0.0,0.0,0.0,0.0,5.5036,2.8669,3.5,-126.0548,79.7196,0.3133,140.3836,62.9594,6.2917,3.6346,0.6615,0.1436,0.9875,0.4754,884.0,0.0,0.0,0.0,0.1381,2.5638,1.1488,0.7919
71,0,5.0,4.62,0.0,0.0,0.0,0.0,7.5,2.8353,2.0667,-147.8475,88.9079,0.4162,71.3597,123.1062,7.0,3.8283,0.4526,0.197,0.9948,0.4101,519.0,0.0,0.0,0.0,0.1676,1.8134,-0.0,1.1561
72,0,5.0,4.09,0.0,0.0,0.0,0.0,3.7686,3.0616,3.75,8.2237,29.347,0.321,63.9633,145.6299,7.25,3.6326,0.5082,0.2085,0.9941,0.4819,673.0,0.0,0.0,0.0,0.1638,1.7741,1.0409,1.7831
73,0,4.0,4.61,0.0,0.0,0.0,0.0,5.5479,2.8503,2.0526,43.3341,15.8527,0.4637,126.8678,64.6902,5.7368,3.3661,0.414,0.2216,0.9943,0.5024,509.0,0.0,0.0,0.0,0.1573,2.168,-0.0,1.7682
74,0,5.0,4.57,0.0,0.0,0.0,0.0,2.6653,3.1912,3.5517,21.7527,21.2999,0.3047,67.6548,112.6066,6.6207,3.6834,0.6489,0.3333,0.9992,0.6258,955.0,0.0,0.0,0.0,0.129,2.1088,0.5788,3.0366
75,0,4.0,3.86,0.0,0.0,0.0,0.0,3.8902,2.8257,5.4286,-44.1283,50.5506,0.3917,53.0815,185.9375,7.5714,4.0372,0.3937,0.2308,0.9826,0.3911,480.0,0.0,0.0,0.0,0.2414,1.9978,0.65,1.25
0,1,4.0,3.68,0.6672,0.0,0.1122,0.5627,6.5135,2.8902,2.5,27.371,18.8819,0.539,111.3169,90.8669,3.9286,2.6414,0.4157,0.4242,0.9939,0.4544,308.0,-3.6973,40.3386,0.2969,0.1293,1.9097,0.8113,1.2987
1,1,4.0,3.81,0.6711,0.0,0.0841,0.1768,2.4189,3.2588,2.8788,26.6164,13.9831,0.5759,178.0529,72.1263,4.9697,2.7668,0.2483,0.4353,0.9973,0.3996,507.0,-3.4755,32.3127,0.2207,0.0279,2.2989,1.1106,7.6923
2,1,2.0,4.31,0.0,0.0,0.0,0.0,3.5622,3.0841,1.4884,41.936,11.3345,0.4172,202.6439,50.5045,4.2209,2.9548,0.426,0.2665,0.999,0.5102,1184.0,0.0,0.0,0.0,0.0747,2.3989,0.9977,2.9561
3,1,5.0,4.92,0.0,0.0,0.0,0.0,6.7724,2.9169,2.0656,42.0242,15.0646,0.3239,122.6135,57.7822,4.2623,2.8404,0.5413,0.155,0.9996,0.4421,1207.0,0.0,0.0,0.0,0.1426,2.4,1.1918,1.657
4,1,2.0,2.81,0.6428,0.0,0.1127,0.4283,6.4902,3.007,4.2727,22.1966,24.1108,0.482,52.2145,138.5605,5.9091,4.0844,0.3311,0.2288,0.988,0.4911,473.0,-3.376,29.2548,0.3401,0.1885,1.9483,0.7642,1.9027
5,1,4.0,3.93,0.0,0.0,0.0,0.0,5.4627,2.6767,1.9231,-20.8635,36.7392,0.3398,48.4891,171.3562,6.9231,3.5025,0.4909,0.201,0.9959,0.4528,512.0,0.0,0.0,0.0,0.175,2.061,-0.0,1.3672
6,1,4.0,4.07,0.0,0.0,0.0,0.0,8.2667,2.9658,2.7143,38.0784,15.9743,0.4847,108.3967,105.5247,5.1429,3.2902,0.3942,0.2534,0.9897,0.5239,491.0,0.0,0.0,0.0,0.1509,1.81,1.4591,1.222
7,1,4.0,4.01,0.0,0.0,0.0,0.0,3.2111,2.8837,1.2083,38.9806,11.6459,0.4187,48.8018,148.2338,5.6667,3.4289,0.4674,0.2681,0.9948,0.5461,418.0,0.0,0.0,0.0,0.1214,1.5353,0.7219,2.3923
8,1,3.0,3.57,0.0,0.0,0.0,0.0,4.7792,3.0621,2.9412,39.8483,16.624,0.5073,82.9638,59.9718,4.9412,2.9791,0.3742,0.2199,0.9825,0.4126,479.0,0.0,0.0,0.0,0.1374,2.3025,1.2516,1.2526
9,1,3.0,3.48,0.0,0.0,0.0,0.0,4.217,2.8853,1.0,58.6415,8.0558,0.4024,94.3865,84.9761,4.7347,2.9347,0.4567,0.25,0.9965,0.4691,589.0,0.0,0.0,0.0,0.069,2.035,0.5033,3.056
