user_id,file_id,rating,proportion_top10,proportion_top100,proportion_top1000,proportion_over1000,mean_rank,median_rank,rank_entropy,n_pred_tokens,pred_rating
53,0,5,0.7198,0.1607,0.0977,0.0219,88.44,2.0,1.2136,778,4.68
54,0,5,0.7328,0.158,0.0881,0.0211,90.44,2.0,1.1755,1044,4.72
55,0,5,0.7563,0.1401,0.0868,0.0168,89.73,1.0,1.1073,2798,4.71
56,0,5,0.6754,0.2008,0.1032,0.0206,97.84,3.0,1.3011,533,3.98
57,0,5,0.7317,0.1419,0.1011,0.0253,116.58,2.0,1.1978,712,3.98
58,0,2,0.7765,0.1243,0.088,0.0112,60.34,1.0,1.0382,716,2.92
59,0,4,0.824,0.1032,0.0607,0.0121,61.62,1.0,0.8906,5961,4.27
60,0,4,0.7257,0.1622,0.0875,0.0245,104.75,2.0,1.2002,937,4.01
61,0,5,0.7542,0.1526,0.0783,0.0149,100.76,1.0,1.0988,1481,4.96
62,0,4,0.7899,0.1408,0.0536,0.0158,80.1,1.0,0.9875,952,3.85
63,0,5,0.7189,0.1676,0.0972,0.0162,99.63,2.0,1.1977,5667,4.59
64,0,5,0.7359,0.1384,0.1066,0.0191,84.5,1.0,1.1739,1098,4.78
65,0,4,0.7706,0.1327,0.0696,0.0271,89.99,1.0,1.0849,776,3.91
66,0,4,0.7892,0.1325,0.0712,0.0071,65.73,1.0,0.9782,702,3.84
67,0,4,0.8002,0.1071,0.0784,0.0143,60.36,1.0,0.9782,906,3.95
68,0,4,0.7446,0.1542,0.0766,0.0246,101.52,2.0,1.148,1018,4.04
69,0,4,0.7796,0.1434,0.0665,0.0105,52.33,1.0,1.011,1234,4.28
70,0,5,0.7896,0.1307,0.0621,0.0175,78.04,1.0,1.0039,1545,4.77
71,0,5,0.7191,0.1621,0.1002,0.0186,81.84,1.0,1.2071,808,4.77
72,0,5,0.8039,0.1229,0.0624,0.0107,50.33,1.0,0.945,1025,3.99
73,0,4,0.7162,0.1632,0.0999,0.0207,86.72,2.0,1.2195,821,4.45
74,0,5,0.7872,0.1331,0.0681,0.0116,55.73,1.0,0.9977,1292,4.7
75,0,4,0.7827,0.1319,0.0716,0.0138,58.82,1.0,1.0199,796,4.03
0,1,4,0.6783,0.1991,0.1028,0.0197,86.47,2.0,1.2925,457,3.97
1,1,4,0.7068,0.1789,0.1008,0.0135,84.72,2.0,1.2157,665,4.25
2,1,2,0.6804,0.175,0.1203,0.0243,145.93,2.0,1.3158,1771,4.13
3,1,5,0.747,0.1503,0.0814,0.0213,91.59,1.0,1.1383,2063,4.86
4,1,2,0.7089,0.1514,0.1179,0.0218,77.52,2.0,1.2483,687,3.02
5,1,4,0.7876,0.1155,0.0882,0.0087,52.63,1.0,0.9995,805,3.92
6,1,4,0.7106,0.1454,0.1198,0.0242,137.84,2.0,1.2514,743,4.13
7,1,4,0.8205,0.1158,0.0503,0.0134,47.16,1.0,0.8949,596,3.68
8,1,3,0.706,0.1635,0.1126,0.0179,85.38,2.0,1.2402,728,3.69
9,1,3,0.802,0.1295,0.0609,0.0076,43.66,1.0,0.9368,919,3.32
10,1,4,0.7811,0.1288,0.0744,0.0157,61.02,1.0,1.0323,699,3.96
11,1,4,0.7153,0.1516,0.1109,0.0222,119.82,2.0,1.232,541,3.96
12,1,5,0.7679,0.1136,0.0901,0.0284,120.94,1.0,1.1078,810,4.42
13,1,5,0.7761,0.147,0.067,0.0099,49.09,1.0,1.0178,1612,4.67
14,1,5,0.7281,0.1656,0.0844,0.0219,90.44,2.0,1.1845,640,3.99
15,1,4,0.6579,0.2053,0.1182,0.0187,88.66,2.0,1.3377,643,4.1
16,1,4,0.7718,0.1469,0.0732,0.0081,53.62,1.0,1.0274,2471,4.26
17,1,4,0.5508,0.2712,0.1102,0.0678,247.3,6.0,1.5982,118,4.06
18,1,3,0.7686,0.1281,0.0909,0.0124,78.59,1.0,1.0646,726,4.23
19,1,5,0.7969,0.1354,0.0562,0.0115,49.97,1.0,0.9591,960,4.26
20,1,5,0.7748,0.1321,0.0781,0.015,72.32,1.0,1.0493,999,4.79
21,1,4,0.5556,0.1111,0.2222,0.1111,301.67,6.0,1.6577,9,3.71
22,1,4,0.7006,0.159,0.1017,0.0388,128.8,2.0,1.2987,541,3.68
23,1,4,0.756,0.1507,0.0766,0.0167,76.7,2.0,1.0992,418,3.91
24,1,4,0.7332,0.1719,0.0819,0.013,72.6,2.0,1.1421,1233,4.15
25,1,3,0.7445,0.1518,0.0856,0.0182,65.23,1.0,1.1383,771,3.84
26,1,4,0.8192,0.1209,0.0493,0.0106,46.79,1.0,0.8875,852,3.68
27,1,3,0.8171,0.1274,0.0452,0.0103,40.9,1.0,0.8868,973,3.35
28,1,3,0.7435,0.1378,0.0955,0.0232,76.96,1.0,1.1614,733,3.8
29,1,4,0.6785,0.1801,0.1318,0.0096,75.76,3.0,1.2751,311,3.93
30,1,3,0.7516,0.1587,0.072,0.0177,93.83,2.0,1.1076,958,3.53
31,1,4,0.6488,0.181,0.1396,0.0307,120.56,2.0,1.402,652,4.01
32,1,5,0.7473,0.1462,0.0869,0.0196,83.2,1.0,1.1371,1737,4.84
33,1,5,0.7369,0.1565,0.0923,0.0143,78.21,2.0,1.1482,1680,4.91
34,1,2,0.5939,0.1929,0.1269,0.0863,455.23,6.0,1.5873,197,3.83
35,1,1,0.7393,0.1359,0.1074,0.0174,77.36,2.0,1.1607,633,2.86
36,1,4,0.7509,0.1368,0.094,0.0183,87.31,1.0,1.1292,819,4.21
37,1,5,0.7005,0.1782,0.0965,0.0248,91.89,2.0,1.2609,808,4.6
38,1,5,0.7292,0.152,0.1022,0.0166,72.28,1.0,1.1797,783,4.69
39,1,4,0.8013,0.119,0.0696,0.0101,52.45,1.0,0.9559,891,3.86
40,1,4,0.7277,0.1637,0.094,0.0146,79.49,2.0,1.1707,617,4.15
41,1,5,0.7586,0.1356,0.0894,0.0164,72.67,1.0,1.102,671,4.5
42,1,5,0.7493,0.1382,0.1003,0.0122,61.69,1.0,1.1168,738,4.42
43,1,5,0.7135,0.1605,0.1046,0.0215,101.88,2.0,1.2308,698,4.74
44,1,4,0.7239,0.1564,0.0982,0.0215,86.99,2.0,1.2038,652,4.14
45,1,2,0.7595,0.1353,0.0867,0.0184,73.63,1.0,1.1039,761,3.1
46,1,5,0.7476,0.1318,0.1077,0.0129,62.25,1.0,1.1262,622,4.4
47,1,5,0.7705,0.1429,0.0747,0.012,63.21,2.0,1.0468,1085,4.7
48,1,4,0.7869,0.1421,0.0624,0.0086,39.39,1.0,0.981,929,3.95
49,1,4,0.7412,0.1463,0.0949,0.0177,82.33,1.0,1.1513,622,3.8
50,1,5,0.77,0.1404,0.0741,0.0156,57.93,1.0,1.0597,513,3.59
51,1,4,0.7369,0.164,0.0883,0.0108,62.78,1.0,1.132,555,3.91
52,1,4,0.7496,0.137,0.0945,0.0189,132.14,1.0,1.1344,635,3.97
53,1,5,0.7197,0.1673,0.0925,0.0204,77.87,2.0,1.2054,735,4.58
54,1,5,0.7951,0.1355,0.0601,0.0093,38.98,1.0,0.9604,1181,4.61
55,1,4,0.7608,0.1383,0.0857,0.0152,70.74,1.0,1.0902,1844,4.33
56,1,4,0.7619,0.1442,0.0762,0.0177,106.43,1.0,1.0878,735,4.04
57,1,4,0.793,0.143,0.059,0.005,33.4,1.0,0.9457,1000,4.15
58,1,2,0.7873,0.1197,0.0831,0.0099,50.25,1.0,1.0022,710,2.2
59,1,3,0.8295,0.106,0.0542,0.0102,55.63,1.0,0.8625,1273,3.45
60,1,4,0.804,0.1297,0.0583,0.008,41.4,1.0,0.9299,2383,4.04
61,1,5,0.7619,0.1454,0.0772,0.0154,74.43,1.0,1.0817,777,4.69
62,1,4,0.7679,0.1386,0.081,0.0125,60.31,2.0,1.0603,642,4.04
63,1,5,0.7459,0.1521,0.0861,0.0159,79.61,1.0,1.1285,2892,4.81
64,1,5,0.7208,0.1469,0.1169,0.0155,75.54,2.0,1.2019,1035,4.87
65,1,4,0.6789,0.1885,0.1105,0.0221,83.78,2.0,1.3057,679,3.82
66,1,4,0.7645,0.1341,0.0909,0.0104,49.57,1.0,1.0681,671,4.04
67,1,4,0.7928,0.1243,0.0668,0.016,58.9,1.0,0.9961,748,3.77
68,1,4,0.7631,0.134,0.0854,0.0175,71.59,2.0,1.0914,1030,4.14
69,1,4,0.848,0.1047,0.0421,0.0051,28.74,1.0,0.774,974,3.85
70,1,5,0.8127,0.119,0.0592,0.0091,39.22,1.0,0.9116,3295,4.53
71,1,5,0.7243,0.1606,0.1047,0.0105,51.49,2.0,1.1705,573,4.69
72,1,5,0.8294,0.1075,0.0494,0.0136,44.86,1.0,0.8686,809,3.63
73,1,4,0.7092,0.1611,0.1022,0.0275,104.05,2.0,1.2547,509,3.95
74,1,3,0.827,0.0988,0.061,0.0131,56.03,1.0,0.8847,688,3.4
75,1,5,0.7112,0.1553,0.1144,0.0191,90.99,2.0,1.2338,734,4.6
